EOD price,EOD date,Variations
29.05,2022-08-02T00:00:00+0000,0.011843
28.71,2022-07-29T00:00:00+0000,0.004900
28.57,2022-07-28T00:00:00+0000,0.000000
28.57,2022-07-27T00:00:00+0000,0.066443
26.79,2022-07-26T00:00:00+0000,-0.032153
27.68,2022-07-25T00:00:00+0000,0.000000
27.68,2022-07-22T00:00:00+0000,-0.028308
28.48,2022-07-21T00:00:00+0000,0.009669
28.21,2022-07-20T00:00:00+0000,0.022745
27.58,2022-07-19T00:00:00+0000,0.044856
26.40,2022-07-18T00:00:00+0000,0.003953
26.29,2022-07-15T00:00:00+0000,0.030473
25.52,2022-07-14T00:00:00+0000,-0.016859
25.95,2022-07-13T00:00:00+0000,-0.004044
26.06,2022-07-12T00:00:00+0000,-0.002797
26.13,2022-07-11T00:00:00+0000,-0.031830
26.99,2022-07-08T00:00:00+0000,-0.005926
27.15,2022-07-07T00:00:00+0000,0.025906
26.47,2022-07-06T00:00:00+0000,-0.006020
26.63,2022-07-05T00:00:00+0000,0.039575
25.61,2022-07-04T00:00:00+0000,0.011958
25.31,2022-07-01T00:00:00+0000,-0.024145
25.94,2022-06-30T00:00:00+0000,-0.004701
26.06,2022-06-29T00:00:00+0000,-0.036051
27.03,2022-06-28T00:00:00+0000,-0.012582
27.38,2022-06-27T00:00:00+0000,0.042720
26.26,2022-06-24T00:00:00+0000,0.013628
25.90,2022-06-23T00:00:00+0000,-0.009243
26.15,2022-06-22T00:00:00+0000,0.015149
25.76,2022-06-21T00:00:00+0000,0.018712
25.28,2022-06-20T00:00:00+0000,-0.049095
26.59,2022-06-17T00:00:00+0000,0.031401
25.78,2022-06-16T00:00:00+0000,-0.005379
25.92,2022-06-15T00:00:00+0000,-0.047704
27.22,2022-06-14T00:00:00+0000,-0.040266
28.36,2022-06-13T00:00:00+0000,-0.025781
29.11,2022-06-10T00:00:00+0000,0.010196
28.81,2022-06-09T00:00:00+0000,-0.001380
28.85,2022-06-08T00:00:00+0000,-0.000410
28.87,2022-06-07T00:00:00+0000,-0.026563
29.65,2022-06-06T00:00:00+0000,0.035054
28.65,2022-06-03T00:00:00+0000,-0.009918
28.94,2022-06-02T00:00:00+0000,0.005689
28.77,2022-06-01T00:00:00+0000,0.032630
27.86,2022-05-31T00:00:00+0000,0.014364
27.47,2022-05-30T00:00:00+0000,0.034182
26.56,2022-05-27T00:00:00+0000,-0.045610
27.83,2022-05-26T00:00:00+0000,0.010195
27.55,2022-05-25T00:00:00+0000,-0.004335
27.67,2022-05-24T00:00:00+0000,0.015934
27.24,2022-05-23T00:00:00+0000,-0.019108
27.77,2022-05-20T00:00:00+0000,0.015315
27.35,2022-05-19T00:00:00+0000,-0.027964
28.13,2022-05-18T00:00:00+0000,0.044920
26.92,2022-05-17T00:00:00+0000,0.035901
25.99,2022-05-16T00:00:00+0000,-0.037884
27.01,2022-05-13T00:00:00+0000,0.025043
26.35,2022-05-12T00:00:00+0000,-0.062949
28.12,2022-05-11T00:00:00+0000,-0.016285
28.59,2022-05-10T00:00:00+0000,-0.049591
30.08,2022-05-09T00:00:00+0000,0.019705
29.50,2022-05-06T00:00:00+0000,-0.011675
29.85,2022-05-05T00:00:00+0000,0.020894
29.24,2022-05-04T00:00:00+0000,-0.022822
29.92,2022-05-03T00:00:00+0000,0.033085
28.96,2022-05-02T00:00:00+0000,-0.043566
30.28,2022-04-29T00:00:00+0000,-0.025768
31.08,2022-04-28T00:00:00+0000,0.021804
30.42,2022-04-27T00:00:00+0000,-0.026556
31.25,2022-04-26T00:00:00+0000,-0.045070
32.73,2022-04-25T00:00:00+0000,-0.041911
34.16,2022-04-22T00:00:00+0000,0.019266
33.51,2022-04-21T00:00:00+0000,-0.007516
33.76,2022-04-20T00:00:00+0000,-0.024628
34.62,2022-04-19T00:00:00+0000,0.017923
34.01,2022-04-14T00:00:00+0000,-0.002147
34.08,2022-04-13T00:00:00+0000,-0.010863
34.46,2022-04-12T00:00:00+0000,-0.007785
34.73,2022-04-11T00:00:00+0000,-0.008297
35.02,2022-04-08T00:00:00+0000,-0.023882
35.87,2022-04-07T00:00:00+0000,-0.031344
37.03,2022-04-06T00:00:00+0000,0.018853
36.35,2022-04-05T00:00:00+0000,-0.002000
36.42,2022-04-04T00:00:00+0000,-0.015774
37.00,2022-04-01T00:00:00+0000,-0.013519
37.51,2022-03-31T00:00:00+0000,0.022580
36.68,2022-03-30T00:00:00+0000,0.016276
36.10,2022-03-29T00:00:00+0000,-0.008774
36.42,2022-03-28T00:00:00+0000,0.015433
35.86,2022-03-25T00:00:00+0000,-0.002042
35.94,2022-03-24T00:00:00+0000,0.032774
34.80,2022-03-23T00:00:00+0000,-0.011128
35.19,2022-03-22T00:00:00+0000,0.024584
34.34,2022-03-21T00:00:00+0000,0.009592
34.02,2022-03-18T00:00:00+0000,0.040397
32.70,2022-03-17T00:00:00+0000,0.032863
31.66,2022-03-16T00:00:00+0000,-0.016576
32.19,2022-03-15T00:00:00+0000,-0.031506
33.24,2022-03-14T00:00:00+0000,-0.007341
33.48,2022-03-11T00:00:00+0000,0.039033
32.22,2022-03-10T00:00:00+0000,0.016774
31.69,2022-03-09T00:00:00+0000,-0.053741
33.49,2022-03-08T00:00:00+0000,-0.024846
34.35,2022-03-07T00:00:00+0000,-0.031535
35.46,2022-03-04T00:00:00+0000,0.004472
35.31,2022-03-03T00:00:00+0000,-0.024519
36.19,2022-03-02T00:00:00+0000,-0.000667
36.22,2022-03-01T00:00:00+0000,0.011326
35.81,2022-02-28T00:00:00+0000,0.045870
34.24,2022-02-25T00:00:00+0000,-0.025441
35.14,2022-02-24T00:00:00+0000,-0.014779
35.66,2022-02-23T00:00:00+0000,-0.016138
36.25,2022-02-22T00:00:00+0000,-0.028926
37.33,2022-02-21T00:00:00+0000,-0.007044
37.59,2022-02-18T00:00:00+0000,0.024071
36.71,2022-02-17T00:00:00+0000,0.000271
36.70,2022-02-16T00:00:00+0000,-0.028500
37.77,2022-02-15T00:00:00+0000,-0.014595
38.33,2022-02-14T00:00:00+0000,0.025890
37.37,2022-02-11T00:00:00+0000,-0.001072
