MM 20,MM 30,MM 50
23.670500,24.659000,26.125600
23.822500,24.785667,26.264000
23.987000,24.908000,26.401200
24.167500,25.040667,26.541400
24.346000,25.179667,26.667800
24.589000,25.315333,26.785800
24.798500,25.446000,26.893000
24.928500,25.588333,26.981800
25.058000,25.706333,27.069200
25.139000,25.807333,27.114400
25.282500,25.940333,27.196400
25.458000,26.117000,27.291200
25.645000,26.316000,27.400400
25.790500,26.487000,27.486200
25.969500,26.704000,27.572000
26.163500,26.927667,27.635400
26.353500,27.143333,27.691800
26.573500,27.328333,27.722200
26.734000,27.504000,27.750600
26.850500,27.628333,27.767200
26.946000,27.762333,27.776600
27.073500,27.891667,27.802600
27.204000,28.010667,27.818000
27.333500,28.124000,27.818200
27.510000,28.215667,27.825400
27.612000,28.250333,27.779600
27.732000,28.289333,27.735000
27.873000,28.350667,27.719200
28.023500,28.410000,27.704600
28.164000,28.431333,27.722200
28.325500,28.472333,27.740800
28.481500,28.513333,27.737000
28.641000,28.570667,27.719800
28.792500,28.616667,27.706200
28.900000,28.640333,27.684000
28.991500,28.616667,27.647400
29.063500,28.584000,27.633800
29.072000,28.488000,27.581400
29.113500,28.428333,27.545000
29.075000,28.378333,27.538200
29.080500,28.330333,27.554000
29.080500,28.330333,27.554000
29.052500,28.288667,27.571400
29.027000,28.227333,27.567800
28.985000,28.141333,27.563800
28.874000,28.035667,27.545200
28.697000,27.891333,27.539400
28.514500,27.737000,27.513600
28.313000,27.616667,27.501400
28.120500,27.492000,27.480800
27.975500,27.427667,27.458800
27.702000,27.262667,27.367600
27.701998,27.262420,27.367159
27.581099,27.140204,27.332360
27.406918,27.013377,27.284344
27.245251,26.876544,27.240527
27.073403,26.750942,27.204231
26.903422,26.680183,27.185346
26.771753,26.587110,27.160884
26.646209,26.498684,27.152158
26.658395,26.512868,27.154843
26.643305,26.535447,27.121065
26.572363,26.583195,27.107849
26.443457,26.594274,27.065308
26.340272,26.615771,27.063630
26.248945,26.658575,27.083811
26.193169,26.767104,27.157509
26.207856,26.845622,27.221661
26.220947,26.959624,27.308332
26.219131,27.053584,27.374035
26.276962,27.113726,27.451287
26.388229,27.158280,27.507913
26.494062,27.143933,27.573742
26.577160,27.166534,27.652372
26.696532,27.202628,27.731450
26.808481,27.237377,27.823919
27.010496,27.291449,27.966159
27.177430,27.373295,28.143083
27.327401,27.420306,28.294570
27.463063,27.489457,28.448682
27.504535,27.485807,28.600353
27.509056,27.439572,28.732945
27.524266,27.464840,28.889433
27.620593,27.479875,29.060468
27.690795,27.545868,29.232075
27.786502,27.640388,29.417297
27.884164,27.800403,29.629114
27.943089,27.897531,29.838040
28.021546,28.033256,30.049450
28.132368,28.143971,30.259529
28.117804,28.234171,30.455316
27.999493,28.254369,30.638409
27.894832,28.293528,30.789926
27.771859,28.369180,30.935570
27.735418,28.421395,31.086806
27.721664,28.500877,31.226737
27.743118,28.603268,31.352382
27.785719,28.786852,31.475304
27.831396,28.939349,31.600318
27.854711,29.105761,31.711720
27.957629,29.330898,31.834780
28.032363,29.548871,31.939315
28.218456,29.799545,32.041202
28.381130,30.020384,32.128374
28.524683,30.259595,32.242105
28.703731,30.504493,32.358353
28.978224,30.792414,32.458125
29.297765,31.101341,32.536654
29.605966,31.401387,32.659557
29.887519,31.677636,32.783793
30.272171,32.013657,32.954584
30.673003,32.397686,33.140879
31.026323,32.719989,33.324455
31.431357,33.044710,33.521714
31.761385,33.321066,33.675453
32.082660,33.563452,33.788466
32.372181,33.758558,33.889521
32.748805,33.935027,34.012742
33.073742,34.112932,34.140693
33.432866,34.283058,34.302457
33.787034,34.419547,34.455859
34.214469,34.543950,34.610754
34.534523,34.589700,34.739064
34.785154,34.626537,34.872887
35.084924,34.720387,35.031165
35.315527,34.794769,35.153497
35.476052,34.778060,35.247132
35.507982,34.695913,35.317905
35.591771,34.695284,35.375072
35.620657,34.714642,35.485002
35.590602,34.742859,35.585545
35.524981,34.786130,35.681908
35.403689,34.856544,35.734866
35.290360,34.915286,35.762098
35.215871,34.951498,35.790340
35.139144,34.925670,35.825391
34.956693,34.901081,35.862339
34.689624,34.855367,35.878652
34.546812,34.851994,35.935115
34.443027,34.882184,35.994180
34.365973,34.901743,36.057281
34.255670,34.874944,36.130622
34.231154,34.875425,36.228897
34.237221,34.931375,36.353802
34.207033,34.995325,36.478299
34.125987,35.045476,36.593089
34.085965,35.094518,36.706083
34.129315,35.191187,36.851335
34.182335,35.230605,36.985635
34.331554,35.394565,37.168007
34.510327,35.582174,37.368822
34.710961,35.786526,37.579578
34.963110,35.955650,37.821148
35.242412,36.076590,38.043036
35.497330,36.173319,38.246277
35.691588,36.282890,0
35.950740,36.466103,0
36.250892,36.671337,0
36.394752,36.860651,0
36.640541,37.028282,0
36.849574,37.184820,0
37.025575,37.380590,0
37.052349,37.560726,0
37.032315,37.764856,0
37.048603,37.992476,0
37.174974,38.237823,0
37.304227,38.452828,0
37.413579,38.666015,0
37.559797,38.854502,0
37.662175,39.058976,0
37.790590,39.274485,0
38.014139,39.491989,0
38.259105,39.726507,0
38.487442,39.910119,0
38.702760,40.078909,0
38.914507,0,0
39.123430,0,0
39.341557,0,0
39.618180,0,0
39.828171,0,0
40.048793,0,0
40.269156,0,0
40.619394,0,0
40.992705,0,0
41.355714,0,0
