Share,MNEMO,Price,Currency,Volume,Exchange,Date
Universal Music Group B.V,UMG.XAMS,20.41,EUR,1839696.0,XAMS,2022-05-13T00:00:00+0000
Spotify,SPOT,106.09,USD,2479300.0,XNYS,2022-05-13T00:00:00+0000
Tencent Music Entertainment Group,TME,4.1,USD,11234000.0,XNYS,2022-05-13T00:00:00+0000
Warner Music Group Corp.,WMG,29.08,USD,1962700.0,XNYS,2022-05-13T00:00:00+0000
Sirius XM Holdings,SIRI,6.14,USD,26892493.0,XNAS,2022-05-13T00:00:00+0000
Sonos Inc.,SONO,22.64,USD,4388700.0,XNAS,2022-05-13T00:00:00+0000
Live Nation Entertainment,LYV,91.25,USD,2997700.0,XNYS,2022-05-13T00:00:00+0000
iHeartMedia Inc,IHRT,12.8,USD,833800.0,XNAS,2022-05-13T00:00:00+0000
Music Broadcast Ltd,RADIOCITY.XNSE,23.1,INR,117375.0,XNSE,2022-05-13T00:00:00+0000
Believe Digital,BLV,80.76,EUR,234600.0,ARCX,2022-05-13T00:00:00+0000
